Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
1,1552786539,52.35.21.241,10022,76,71,16799,16384,8192,Sat,Mar,21,35,38,75,0,0,20,53319695,18099577,11864305,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
2,1552786539,10.0.2.15,100215,23,71,41119,16384,8192,Sat,Mar,21,35,39,75,0,0,35,53319716,18099586,11864330,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
3,1552786539,10.0.2.15,100215,23,40,41149,16384,8192,Sat,Mar,21,35,39,75,2,0,17,53320017,18099742,11864383,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,15,64,IoT_Attack
4,1552786540,52.35.21.241,100215,23,40,16829,16384,8192,Sat,Mar,21,35,39,75,2,1,17,53320753,18100073,11864467,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
5,1552786540,52.35.21.241,100215,23,40,16828,16384,8192,Sat,Mar,21,35,39,75,0,0,20,53320907,18100143,11864521,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
6,1552786540,52.35.21.241,100215,23,40,16827,16384,8192,Sat,Mar,21,35,40,75,1,0,20,53321033,18100222,11864584,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
7,1552786540,10.0.2.15,100215,23,40,46867,16384,8192,Sat,Mar,21,35,40,75,0,0,20,53321075,18100248,11864639,0,45.8,23.9,144708,325593,2772858880,10760884224,141280,1508584,286764,689562,29329405,834535487,0,64,IoT_Attack
8,1552786600,10.0.2.15,100215,23,76,20062,16384,8192,Sat,Mar,21,36,39,75,0,0,20,53326234,18102242,11866131,0,45.8,23.9,144708,325674,2772858880,10761412608,141280,1508612,286765,689563,29329495,834535577,0,64,IoT_Attack
9,1552786600,91.189.91.157,100215,23,76,54340,16384,8192,Sat,Mar,21,36,40,75,0,0,20,53326271,18102272,11866180,0,45.8,23.9,144708,325674,2772858880,10761412608,141280,1508612,286765,689563,29329495,834535577,0,64,IoT_Attack
12,1552786632,34.208.211.12,100215,23,71,38353,16384,8192,Sat,Mar,21,37,12,75,0,1,20,53330217,18103252,11866929,0,45.8,23.9,144708,325676,2772858880,10761424896,141280,1508612,286767,689566,29329644,834535782,0,64,IoT_Attack
13,1552786633,10.0.2.15,100215,23,75,43815,16384,8192,Sat,Mar,21,37,12,75,0,0,20,53330233,18103271,11866969,0,45.8,23.9,144708,325676,2772858880,10761424896,141280,1508612,286767,689566,29329644,834535782,0,64,IoT_Attack
14,1552786633,34.208.211.12,100215,23,40,38383,16384,8192,Sat,Mar,21,37,12,75,0,0,20,53330251,18103290,11867002,0,45.8,23.9,144708,325676,2772858880,10761424896,141280,1508612,286767,689566,29329644,834535782,0,64,IoT_Attack
17,1552786720,10.0.2.15,100215,23,86,35720,16384,8192,Sat,Mar,21,38,40,75,0,0,20,53338591,18105715,11868912,0,45.8,23.9,144708,325677,2772858880,10761428992,141280,1508612,286773,689572,29330180,834536350,0,64,IoT_Attack
