Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
1,1552275970,10.0.2.15,100215,23,81,25595,16384,8192,Sun,Mar,23,46,9,69,16,4,0,42696823,18794034,12394000,0,41.2,31.6,144528,389152,2709211136,12331560960,117620,1041484,542136,1013643,416624566,1008199613,95.2,64,Web_Attack
2,1552275970,10.0.2.15,100215,23,81,25594,16384,8192,Sun,Mar,23,46,9,69,16,3,0,42698256,18794608,12394242,0,41.3,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
3,1552275970,10.195.6.40,10195640,7634,293,35749,16384,8192,Sun,Mar,23,46,9,69,11,6,1,42699528,18796172,12394467,0,41.9,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
4,1552275970,10.195.6.40,10195640,3917,317,35724,16384,8192,Sun,Mar,23,46,10,69,14,6,0,42700498,18798244,12394692,0,42.1,31.6,144528,389156,2709211136,12332683264,117620,1041520,542142,1013650,416625720,1008201419,100,64,Web_Attack
5,1552275970,10.0.2.15,100215,23,60,31266,16384,8192,Sun,Mar,23,46,10,69,12,7,1,42702290,18799115,12394897,0,42.5,31.6,144528,389156,2709211136,12332683264,117620,1041520,542147,1013654,416626317,1008202073,100,64,Web_Attack
6,1552275971,64.78.224.185,6478224185,9758,44,31882,16384,8192,Sun,Mar,23,46,10,69,14,3,3,42704300,18799936,12395183,0,42.6,31.6,144531,389159,2709309440,12332888064,117620,1041520,542196,1013696,416634325,1008209476,94.7,64,Web_Attack
7,1552275971,10.0.2.15,100215,23,40,31285,16384,8192,Sun,Mar,23,46,10,69,11,6,2,42708706,18801283,12395551,0,43,31.6,144531,389159,2709309440,12332888064,117620,1041520,542295,1013805,416651946,1008273567,89.5,64,Web_Attack
8,1552275971,10.0.2.15,100215,23,336,30988,16384,8192,Sun,Mar,23,46,10,69,11,8,0,42712923,18802879,12396019,0,43.7,31.6,144531,389164,2709309440,12333133824,117620,1041524,542407,1014034,416659187,1008581239,90,64,Web_Attack
9,1552275971,64.78.224.185,6478224185,372,40,31885,16384,8192,Sun,Mar,23,46,11,69,6,3,8,42714417,18803869,12396544,0,43.7,31.6,144531,389538,2709309440,12337561600,117620,1042724,542488,1014191,416665712,1008779722,89.5,64,Web_Attack
10,1552275971,64.78.224.185,6478224185,8425,424,31500,16384,8192,Sun,Mar,23,46,11,69,5,2,11,42715515,18804805,12396820,0,44.2,31.6,144531,389538,2709309440,12337561600,117620,1042724,542507,1014211,416668028,1008792012,66.7,64,Web_Attack
