Packet_Number,Current_Time,IP_Address,Packet_Length,Packet_Checksum,Category
4,1550702901.107071,192.168.1.157,235,55232,1
6,1550702902.212905,192.168.1.162,121,37971,1
7,1550702902.240221,74.84.192.134,137,64367,1
9,1550702902.950152,192.168.1.157,143,55324,1
10,1550702902.963074,192.168.1.162,82,1981,0
11,1550702903.019664,18.205.93.208,52,4637,0
12,1550702903.257432,192.168.1.157,143,55324,1
13,1550702903.564642,192.168.1.157,143,55324,1
15,1550702903.769523,192.168.1.157,143,55324,1
16,1550702904.170211,192.168.1.162,89,28026,0
17,1550702904.179207,192.168.1.157,235,55232,1
18,1550702904.181303,74.84.192.134,52,12309,0
19,1550702904.418746,192.168.1.162,185,27913,1
20,1550702904.431287,74.84.192.134,185,26785,1
21,1550702904.431744,192.168.1.162,137,52563,1
23,1550702904.998688,192.168.1.210,434,62763,1
25,1550702905.100809,192.168.1.157,235,55232,1
28,1550702906.767543,192.168.1.162,537,64924,1
29,1550702906.785512,74.84.192.134,137,23700,1
30,1550702907.149445,74.84.192.134,377,8818,1
31,1550702907.149586,74.84.192.134,297,12667,1
32,1550702907.149624,74.84.192.134,345,6177,1
33,1550702907.149655,74.84.192.134,361,22690,1
34,1550702907.149686,74.84.192.134,185,11655,1
35,1550702907.149856,192.168.1.162,137,44508,1
36,1550702907.149972,192.168.1.162,137,59545,1
37,1550702907.150179,192.168.1.162,137,58231,1
38,1550702907.150388,192.168.1.162,137,44404,1
39,1550702907.150471,192.168.1.162,137,44799,1
40,1550702907.150831,192.168.1.162,185,63072,1
41,1550702907.154398,192.168.1.162,313,12188,1
42,1550702907.169139,74.84.192.134,137,7035,1
43,1550702907.16969,74.84.192.134,137,4110,1
44,1550702907.252247,74.84.192.134,217,30090,1
45,1550702907.252378,74.84.192.134,265,13009,1
46,1550702907.252416,74.84.192.134,185,15654,1
47,1550702907.252653,192.168.1.162,137,63608,1
48,1550702907.252736,192.168.1.162,137,34841,1
49,1550702907.252779,192.168.1.162,137,34198,1
50,1550702907.253108,192.168.1.162,185,21199,1
51,1550702907.267443,74.84.192.134,137,65271,1
54,1550702908.991828,192.168.1.157,143,55324,1
55,1550702909.094744,192.168.1.157,424,50693,1
56,1550702909.09541,192.168.1.157,433,50684,1
57,1550702909.095747,192.168.1.157,311,50806,1
58,1550702909.096576,192.168.1.157,375,50742,1
59,1550702909.299416,192.168.1.157,311,50806,1
60,1550702909.29989,192.168.1.157,375,50742,1
61,1550702909.300585,192.168.1.157,385,50732,1
62,1550702909.300722,192.168.1.157,143,55324,1
63,1550702909.503934,192.168.1.157,143,55324,1
65,1550702910.01597,192.168.1.157,143,55324,1
66,1550702910.016282,192.168.1.157,235,55232,1
67,1550702910.469391,192.168.1.162,409,1962,1
68,1550702910.470364,192.168.1.162,153,17483,1
69,1550702910.470434,192.168.1.162,153,61887,1
70,1550702910.488144,74.84.192.134,329,16218,1
71,1550702910.488386,74.84.192.134,313,5262,1
72,1550702910.518727,74.84.192.134,505,25401,1
73,1550702910.519169,192.168.1.162,137,754,1
76,1550702911.756787,192.168.1.253,155,13572,1
78,1550702913.562415,192.168.1.162,267,1796,1
79,1550702913.571793,18.205.93.208,52,4636,0
80,1550702913.573295,18.205.93.208,245,4440,1
81,1550702913.573442,192.168.1.162,52,2013,0
83,1550702914.169784,192.168.1.162,89,28026,0
84,1550702914.185257,74.84.192.134,52,19319,0
85,1550702914.185425,74.84.192.134,89,13587,0
86,1550702914.185496,192.168.1.162,52,28063,0
87,1550702914.482552,192.168.1.162,185,64186,1
88,1550702914.51419,74.84.192.134,265,21391,1
89,1550702914.515426,192.168.1.162,153,46042,1
90,1550702914.536056,74.84.192.134,153,18922,1
91,1550702914.536502,192.168.1.162,137,52972,1
92,1550702914.538327,192.168.1.162,649,33539,1
93,1550702914.555403,74.84.192.134,137,3543,1
94,1550702914.55556,74.84.192.134,281,29503,1
95,1550702914.555935,192.168.1.162,137,36095,1
96,1550702914.556515,192.168.1.162,185,57418,1
97,1550702914.558817,192.168.1.162,825,37500,1
98,1550702914.575073,74.84.192.134,137,12352,1
99,1550702914.576315,74.84.192.134,345,26123,1
100,1550702914.576471,74.84.192.134,169,63897,1
101,1550702914.576776,192.168.1.162,137,14241,1
102,1550702914.576898,192.168.1.162,137,21659,1
103,1550702914.57782,192.168.1.162,137,2442,1
104,1550702914.594576,74.84.192.134,137,6990,1
106,1550702915.443359,192.168.1.157,143,55324,1
107,1550702915.443487,192.168.1.157,143,55324,1
108,1550702915.64827,192.168.1.157,235,55232,1
111,1550702917.081852,192.168.1.234,157,56950,1
112,1550702917.082,192.168.1.157,235,55232,1
113,1550702917.184011,192.168.1.234,155,56927,1
115,1550702917.901562,74.84.192.134,201,23840,1
116,1550702917.901915,192.168.1.162,137,48544,1
117,1550702918.105756,192.168.1.214,140,10803,1
119,1550702918.298288,192.168.1.162,319,51056,1
122,1550702919.12979,192.168.1.214,179,25302,1
124,1550702919.744259,192.168.1.228,157,16606,1
126,1550702920.154126,192.168.1.234,383,56162,1
127,1550702920.154826,192.168.1.234,399,56139,1
128,1550702920.25619,192.168.1.228,155,16594,1
129,1550702920.358974,192.168.1.234,401,56127,1
130,1550702920.461386,192.168.1.234,389,56134,1
131,1550702920.666174,192.168.1.234,391,56128,1
132,1550702920.666591,192.168.1.234,344,56169,1
134,1550702920.870653,192.168.1.157,143,55324,1
135,1550702921.280474,192.168.1.157,143,55324,1
136,1550702921.495075,192.168.1.162,137,2085,1
137,1550702921.495967,192.168.1.162,153,60869,1
138,1550702921.496034,192.168.1.162,137,50950,1
139,1550702921.517102,74.84.192.134,153,6968,1
140,1550702921.517572,192.168.1.162,137,60016,1
141,1550702921.519492,192.168.1.162,649,46123,1
142,1550702921.525044,74.84.192.134,201,12719,1
143,1550702921.525329,74.84.192.134,217,10797,1
144,1550702921.536383,74.84.192.134,137,3636,1
145,1550702921.536718,74.84.192.134,1497,5786,1
146,1550702921.536819,74.84.192.134,1497,11232,1
147,1550702921.536875,74.84.192.134,1497,22782,1
148,1550702921.536923,74.84.192.134,169,7863,1
149,1550702921.537332,192.168.1.162,137,34891,1
150,1550702921.537444,192.168.1.162,137,25724,1
151,1550702921.537548,192.168.1.162,137,22844,1
152,1550702921.537729,74.84.192.134,1257,14253,1
153,1550702921.538116,192.168.1.162,137,42156,1
154,1550702921.543236,192.168.1.162,265,40014,1
155,1550702921.543467,192.168.1.162,1385,37430,1
156,1550702921.566229,74.84.192.134,185,12961,1
157,1550702921.566675,192.168.1.162,137,51052,1
158,1550702921.569981,74.84.192.134,1177,7924,1
159,1550702921.570449,192.168.1.162,137,10005,1
161,1550702921.894639,192.168.1.157,143,55324,1
163,1550702921.997258,192.168.1.157,235,55232,1
164,1550702921.997517,74.84.192.134,185,9262,1
165,1550702921.997616,74.84.192.134,281,19865,1
166,1550702921.997975,192.168.1.162,137,51261,1
167,1550702921.998107,192.168.1.162,137,61458,1
168,1550702922.099435,192.168.1.214,179,43388,1
171,1550702922.918781,192.168.1.1,203,11739,1
172,1550702923.021225,192.168.1.157,235,55232,1
175,1550702924.762261,192.168.1.1,48,60963,0
176,1550702924.762426,192.168.1.162,48,46809,0
178,1550702926.298229,192.168.1.228,344,15814,1
179,1550702926.298614,192.168.1.228,335,15811,1
180,1550702926.707525,192.168.1.157,143,55324,1
182,1550702926.912862,74.84.192.134,185,4992,1
183,1550702926.912991,74.84.192.134,185,28651,1
184,1550702926.913166,192.168.1.162,137,45259,1
185,1550702926.913264,192.168.1.162,137,47689,1
186,1550702927.322776,74.84.192.134,185,28997,1
187,1550702927.323087,192.168.1.162,137,34085,1
188,1550702927.526831,192.168.1.157,143,55324,1
189,1550702927.629166,192.168.1.157,143,55324,1
191,1550702927.936761,192.168.1.157,235,55232,1
192,1550702928.448319,192.168.1.210,68,59535,0
193,1550702928.448786,192.168.1.210,377,59225,1
195,1550702929.062926,192.168.1.157,235,55232,1
199,1550702930.291986,192.168.1.253,383,12345,1
200,1550702930.29253,192.168.1.253,399,12326,1
201,1550702930.598841,192.168.1.202,158,50146,1
202,1550702930.599014,169.254.7.137,158,54477,1
203,1550702930.599376,192.168.1.202,161,50143,1
204,1550702930.599654,169.254.7.137,161,54474,1
206,1550702931.110984,192.168.1.214,179,959,1
208,1550702931.213401,192.168.1.157,235,55232,1
209,1550702931.685963,192.168.1.162,121,45722,1
210,1550702931.707563,74.84.192.134,137,8140,1
213,1550702932.851466,192.168.1.157,143,55324,1
214,1550702933.261271,192.168.1.157,143,55324,1
216,1550702934.182903,192.168.1.157,143,55324,1
217,1550702934.183126,192.168.1.157,235,55232,1
218,1550702934.258967,192.168.1.162,89,28026,0
219,1550702934.271275,74.84.192.134,52,29236,0
221,1550702935.104727,192.168.1.157,235,55232,1
223,1550702935.788885,192.168.1.162,153,14471,1
224,1550702935.789095,192.168.1.162,153,13666,1
225,1550702935.790251,192.168.1.162,153,9955,1
226,1550702935.798361,74.84.192.134,169,14468,1
227,1550702935.799282,192.168.1.162,153,31444,1
