Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
1,1552801111,54.200.76.177,5420076177,79,71,27625,16384,8192,Sun,Mar,1,38,31,76,0,0,20,55960422,24163451,16360677,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575125,1068086,420140558,1064990707,0,64,Web_Attack
2,1552801111,10.0.2.15,100215,443,71,13355,16384,8192,Sun,Mar,1,38,31,76,0,0,20,55960448,24163472,16360713,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575125,1068086,420140558,1064990707,0,64,Web_Attack
3,1552801112,10.0.2.15,100215,443,40,13385,16384,8192,Sun,Mar,1,38,31,76,0,0,20,55960477,24163495,16360751,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575125,1068086,420140558,1064990707,0,64,Web_Attack
4,1552801112,54.200.76.177,5420076177,135,40,27655,16384,8192,Sun,Mar,1,38,31,76,0,0,20,55960505,24163531,16360798,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575125,1068086,420140558,1064990707,0,64,Web_Attack
5,1552801112,54.200.76.177,5420076177,167,40,27654,16384,8192,Sun,Mar,1,38,32,76,0,0,20,55960556,24163574,16360870,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575126,1068087,420140618,1064990767,0,64,Web_Attack
6,1552801112,54.200.76.177,5420076177,70,40,27653,16384,8192,Sun,Mar,1,38,32,76,0,0,20,55960596,24163610,16360917,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575126,1068087,420140618,1064990767,0,64,Web_Attack
7,1552801112,10.0.2.15,100215,443,40,57199,16384,8192,Sun,Mar,1,38,32,76,0,0,20,55960620,24163633,16360957,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575126,1068087,420140618,1064990767,0,64,Web_Attack
8,1552801113,10.0.2.15,100215,443,40,34304,16384,8192,Sun,Mar,1,38,32,76,0,0,20,55960657,24163666,16360999,0,46.6,31.8,153262,447110,2851553280,13689548800,120524,1224336,575126,1068087,420140618,1064990767,0,64,Web_Attack
9,1552801113,99.84.181.73,998418173,109,40,55007,16384,8192,Sun,Mar,1,38,32,76,0,0,19,55960697,24163737,16361059,0,46.6,31.8,153262,447219,2851553280,13690200064,120524,1224356,575126,1068087,420140618,1064990767,0,64,Web_Attack
10,1552801122,10.0.2.15,100215,443,40,34303,16384,8192,Sun,Mar,1,38,42,76,0,0,20,55962726,24164497,16361692,0,46.6,31.8,153262,447226,2851553280,13690286080,120524,1224368,575127,1068088,420140678,1064990827,0,64,Web_Attack
11,1552801123,99.84.181.73,998418173,84,40,55006,16384,8192,Sun,Mar,1,38,42,76,0,0,20,55962943,24164551,16361740,0,46.6,31.8,153262,447226,2851553280,13690286080,120524,1224368,575127,1068088,420140678,1064990827,0,64,Web_Attack
