Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
1,1552276191,10.0.2.15,100215,443,40,47798,16384,8192,Sun,Mar,23,49,50,69,0,0,21,34466392,12396770,8266965,0,47.8,23.5,137451,292935,2732956672,9381228544,138224,1353316,241291,612024,24924104,755919997,0,64,IoT_Attack
2,1552276191,72.21.91.29,72219129,3896,40,21028,16384,8192,Sun,Mar,23,49,50,69,0,0,22,34466412,12396793,8266998,0,47.8,23.5,137451,292935,2732956672,9381228544,138224,1353316,241291,612024,24924104,755919997,0,64,IoT_Attack
5,1552276201,10.0.2.15,100215,443,40,47797,16384,8192,Sun,Mar,23,50,0,69,0,0,20,34467464,12397302,8267288,0,47.8,23.5,137451,292980,2732956672,9381695488,138224,1353332,241293,612026,24924224,755920117,0,64,IoT_Attack
6,1552276201,72.21.91.29,72219129,7583,40,21027,16384,8192,Sun,Mar,23,50,1,69,0,0,20,34467498,12397334,8267334,0,47.8,23.5,137451,292980,2732956672,9381695488,138224,1353332,241293,612026,24924224,755920117,0,64,IoT_Attack
7,1552276208,10.0.2.15,100215,443,86,55208,16384,8192,Sun,Mar,23,50,7,69,0,0,24,34468031,12397642,8267584,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241298,612030,24924682,755920536,0,64,IoT_Attack
8,1552276208,10.0.2.15,100215,443,86,55207,16384,8192,Sun,Mar,23,50,7,69,0,0,20,34468235,12397707,8267653,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241299,612032,24924800,755920786,0,64,IoT_Attack
9,1552276208,10.195.6.40,10195640,1999,147,58355,16384,8192,Sun,Mar,23,50,8,69,0,0,20,34468359,12397742,8267679,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241299,612032,24924800,755920786,0,64,IoT_Attack
10,1552276208,10.195.6.40,10195640,5730,118,58383,16384,8192,Sun,Mar,23,50,8,69,0,0,20,34468382,12397761,8267708,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241299,612032,24924800,755920786,0,64,IoT_Attack
11,1552276209,10.0.2.15,100215,443,60,47193,16384,8192,Sun,Mar,23,50,8,69,0,0,20,34468434,12397815,8267774,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241304,612037,24925195,755921228,0,64,IoT_Attack
12,1552276209,35.222.85.5,35222855,7864,44,31851,16384,8192,Sun,Mar,23,50,8,69,0,0,20,34468454,12397837,8267809,0,47.8,23.5,137451,293017,2732956672,9381892096,138224,1353336,241304,612037,24925195,755921228,0,64,IoT_Attack
